"Animal","Sample_ID","Sample_ID_R","Tissue","Animal ID","Sex","Age"
"Axolotl","182A","X182A","Forelimb",1769,"Female",9.84
"Axolotl","183A","X183A","Forelimb",1771,"Female",9.84
"Axolotl","175A","X175A","Forelimb",3296,"Female",6.6
"Axolotl","174A","X174A","Forelimb",3295,"Female",6.6
"Axolotl","156A","X156A","Forelimb",6435,"Female",4.2
"Axolotl","22D","X22D","Forelimb",3350,"Female",3.55
"Axolotl","162A","X162A","Forelimb",9483,"Female",2.2
"Axolotl","163A","X163A","Forelimb",9488,"Female",2.2
"Axolotl","97A","X97A","Forelimb",10693,"Female",1.1
"Axolotl","101A","X101A","Forelimb",10822,NA,0.73
