"hs_symbol","gene_id","SYMBOL","CpG","rank"
"ELP4","AMEX60DD004908","Elp4","cg01140958",2
"ELP4","AMEX60DD037838","Elp4.1","cg01140958",2
"ADAM22","AMEX60DD022134","Adam22","cg09985959",4
"AUTS2","AMEX60DD027966","Auts2","cg14250129",5
"AUTS2","AMEX60DD054212","Auts2.1","cg14250129",5
"AUTS2","AMEX60DD054215","Auts2.3","cg14250129",5
"AUTS2","AMEX60DD054214","Auts2.2","cg14250129",5
"NFIA","AMEX60DD033675","Nfia.1","cg26051591",7
"NFIA","AMEX60DD019413","Nfia","cg26051591",7
"AUTS2","AMEX60DD027966","Auts2","cg14728312",8
"AUTS2","AMEX60DD054212","Auts2.1","cg14728312",8
"AUTS2","AMEX60DD054215","Auts2.3","cg14728312",8
"AUTS2","AMEX60DD054214","Auts2.2","cg14728312",8
"ROBO2","AMEX60DD047487","Robo2.2","cg14460924",9
"ROBO2","AMEX60DD022933","Robo2","cg14460924",9
"ROBO2","AMEX60DD047486","Robo2.1","cg14460924",9
"ROBO2","AMEX60DD054014","Robo2.3","cg14460924",9
"VSTM2A","AMEX60DD038591","Vstm2a","cg08768944",10
"MEIS1","AMEX60DD035598","Meis1.1","cg00096766",11
"MEIS1","AMEX60DD024424","Meis1","cg00096766",11
"HOXD3","AMEX60DD029486","Hoxd3","cg25258174",12
"SATB1","AMEX60DD022782","Satb1","cg26529854",14
"NKX6-1","AMEX60DD043873","Nkx6-1","cg23783364",17
"ZEB2","AMEX60DD029760","Zeb2","cg07182240",19
"ZEB2","AMEX60DD055909","Zeb2.1","cg07182240",19
"LMO4","AMEX60DD019060","Lmo4","cg09531328",20
"LMO4","AMEX60DD051000","Lmo4.1","cg09531328",20
"ROBO2","AMEX60DD047487","Robo2.2","cg06797643",22
"ROBO2","AMEX60DD022933","Robo2","cg06797643",22
"ROBO2","AMEX60DD047486","Robo2.1","cg06797643",22
"ROBO2","AMEX60DD054014","Robo2.3","cg06797643",22
"ZNF423","AMEX60DD016569","Znf423","cg08774648",24
"BOC","AMEX60DD046905","Boc","cg22413784",25
"POU3F2","AMEX60DD033861","Pou3f2","cg19894585",27
"AUTS2","AMEX60DD027966","Auts2","cg02762470",29
"AUTS2","AMEX60DD054212","Auts2.1","cg02762470",29
"AUTS2","AMEX60DD054215","Auts2.3","cg02762470",29
"AUTS2","AMEX60DD054214","Auts2.2","cg02762470",29
"RPS6KC1","AMEX60DD036076","Rps6kc1","cg07724495",30
"WSB1","AMEX60DD054078","Wsb1","cg15054687",32
"UBE2K","AMEX60DD045656","Ube2k","cg26140919",35
"ESRRG","AMEX60DD025330","Esrrg","cg21231503",36
"ESRRG","AMEX60DD036107","Esrrg.1","cg21231503",36
"ASTN2","AMEX60DD050809","Astn2","cg23497109",37
"CAMTA1","AMEX60DD051563","Camta1.1","cg12480296",38
"CAMTA1","AMEX60DD051565","Camta1.2","cg12480296",38
"CAMTA1","AMEX60DD012626","Camta1","cg12480296",38
"CTNND2","AMEX60DD038790","Ctnnd2","cg11568013",39
"GSX1","AMEX60DD049288","Gsx1","cg20705103",40
"CUX2","AMEX60DD000678","Cux2","cg04434607",41
"KAT6B","AMEX60DD052165","Kat6b.1","cg10982864",42
"KAT6B","AMEX60DD002878","Kat6b","cg10982864",42
"DERL2","AMEX60DD054059","Derl2.1","cg03370924",43
"DERL2","AMEX60DD000338","Derl2","cg03370924",43
"PLAG1","AMEX60DD039739","Plag1","cg08863388",44
"TEF","AMEX60DD029172","Tef","cg27456541",45
"PAX2","AMEX60DD051628","Pax2","cg15928284",46
"SLC35D3","AMEX60DD034845","Slc35d3","cg14907557",47
"SLC35D3","AMEX60DD034846","Slc35d3.1","cg14907557",47
"FGFR1","AMEX60DD002586","Fgfr1","cg15215577",48
"CA8","AMEX60DD039785","Ca8","cg06718658",50
"AUTS2","AMEX60DD027966","Auts2","cg08397726",51
"AUTS2","AMEX60DD054212","Auts2.1","cg08397726",51
"AUTS2","AMEX60DD054215","Auts2.3","cg08397726",51
"AUTS2","AMEX60DD054214","Auts2.2","cg08397726",51
"ILF3","AMEX60DD012671","Ilf3","cg06412451",52
"ILF3","AMEX60DD051502","Ilf3.3","cg06412451",52
"ILF3","AMEX60DD051501","Ilf3.2","cg06412451",52
"ILF3","AMEX60DD032042","Ilf3.1","cg06412451",52
"ILF3","AMEX60DD052329","Ilf3.4","cg06412451",52
"ILF3","AMEX60DD052331","Ilf3.6","cg06412451",52
"ILF3","AMEX60DD052330","Ilf3.5","cg06412451",52
"DGKB","AMEX60DD022429","Dgkb","cg00616272",53
"DGKB","AMEX60DD022431","Dgkb.1","cg00616272",53
"DGKB","AMEX60DD022433","Dgkb.2","cg00616272",53
"RANBP17","AMEX60DD030418","Ranbp17.1","cg04677464",54
"RANBP17","AMEX60DD030416","Ranbp17","cg04677464",54
"RANBP17","AMEX60DD030420","Ranbp17.2","cg04677464",54
"MCTP1","AMEX60DD042590","Mctp1.1","cg00510450",55
"MCTP1","AMEX60DD042591","Mctp1.2","cg00510450",55
"MCTP1","AMEX60DD042588","Mctp1","cg00510450",55
"MAPRE3","AMEX60DD032608","Mapre3","cg23410163",57
"AUTS2","AMEX60DD027966","Auts2","cg26163447",59
"AUTS2","AMEX60DD054212","Auts2.1","cg26163447",59
"AUTS2","AMEX60DD054215","Auts2.3","cg26163447",59
"AUTS2","AMEX60DD054214","Auts2.2","cg26163447",59
"ZBTB18","AMEX60DD011065","Zbtb18","cg08496735",61
"ZBTB18","AMEX60DD035280","Zbtb18.1","cg08496735",61
"ERI3","AMEX60DD019855","Eri3","cg17977572",62
"LIN52","AMEX60DD011477","Lin52","cg27311928",63
"BCL11B","AMEX60DD011386","Bcl11b","cg17425313",64
"SDCCAG8","AMEX60DD035270","Sdccag8","cg20218251",66
"SDCCAG8","AMEX60DD035273","Sdccag8.1","cg20218251",66
"VTI1A","AMEX60DD053147","Vti1a.1","cg17357006",67
"VTI1A","AMEX60DD053146","Vti1a","cg17357006",67
"RBBP5","AMEX60DD009058","Rbbp5","cg10217408",68
"CADPS","AMEX60DD023807","Cadps.2","cg12910788",70
"CADPS","AMEX60DD007419","Cadps","cg12910788",70
"CADPS","AMEX60DD023805","Cadps.1","cg12910788",70
"CNTLN","AMEX60DD043394","Cntln","cg26989810",71
"URI1","AMEX60DD016694","Uri1.1","cg11755934",73
"URI1","AMEX60DD016693","Uri1","cg11755934",73
"MRM1","AMEX60DD054128","Mrm1","cg02434126",75
"HMBOX1","AMEX60DD032789","Hmbox1","cg25214099",76
"ARGLU1","AMEX60DD047711","Arglu1","cg25539759",77
"PAX2","AMEX60DD051628","Pax2","cg03601723",78
"AMZ1","AMEX60DD021167","Amz1.1","cg14305407",79
"AMZ1","AMEX60DD021166","Amz1","cg14305407",79
"KHDRBS2","AMEX60DD033518","Khdrbs2","cg10725603",81
"HOXD3","AMEX60DD029486","Hoxd3","cg01171212",83
"RANBP17","AMEX60DD030418","Ranbp17.1","cg17527148",85
"RANBP17","AMEX60DD030416","Ranbp17","cg17527148",85
"RANBP17","AMEX60DD030420","Ranbp17.2","cg17527148",85
"PSAT1","AMEX60DD043300","Psat1","cg19115985",86
"BCL11A","AMEX60DD035398","Bcl11a.1","cg22377555",87
"BCL11A","AMEX60DD024771","Bcl11a","cg22377555",87
"LEF1","AMEX60DD044502","Lef1","cg18913399",88
"CNTLN","AMEX60DD043394","Cntln","cg25229850",89
"ADAM10","AMEX60DD004094","Adam10","cg25893293",91
"ADAM10","AMEX60DD014637","Adam10.1","cg25893293",91
"TCF4","AMEX60DD041795","Tcf4","cg10402101",96
"PPP1R1B","AMEX60DD010300","Ppp1r1b","cg03665107",97
"ESRRG","AMEX60DD025330","Esrrg","cg22763089",99
"ESRRG","AMEX60DD036107","Esrrg.1","cg22763089",99
"GATC","AMEX60DD000505","Gatc","cg02473887",101
"FOXP4","AMEX60DD009181","Foxp4","cg02745872",102
"FAM168A","AMEX60DD049777","Fam168a","cg20211561",103
"LRMDA","AMEX60DD052208","Lrmda.2","cg06645733",107
"LRMDA","AMEX60DD052207","Lrmda.1","cg06645733",107
"LRMDA","AMEX60DD052205","Lrmda","cg06645733",107
"CASZ1","AMEX60DD051153","Casz1","cg20141509",108
"CASZ1","AMEX60DD053420","Casz1.1","cg20141509",108
"NRXN3","AMEX60DD011291","Nrxn3","cg05339574",109
"PMFBP1","AMEX60DD016989","Pmfbp1","cg14649051",110
"NRXN2","AMEX60DD025259","Nrxn2","cg09825499",111
"NRXN2","AMEX60DD025260","Nrxn2.1","cg09825499",111
"MRPS9","AMEX60DD048051","Mrps9","cg08629536",113
"PBX1","AMEX60DD031588","Pbx1.1","cg02136812",115
"PBX1","AMEX60DD018398","Pbx1","cg02136812",115
"PBX1","AMEX60DD050515","Pbx1.3","cg02136812",115
"PBX1","AMEX60DD050512","Pbx1.2","cg02136812",115
"ZIC3","AMEX60DD037412","Zic3","cg22201504",116
"CAMKMT","AMEX60DD035946","Camkmt","cg05132365",117
"KDM3B","AMEX60DD027927","Kdm3b","cg20670041",118
"PDZD4","AMEX60DD025583","Pdzd4.1","cg17715469",119
"PDZD4","AMEX60DD009062","Pdzd4","cg17715469",119
"DRGX","AMEX60DD052422","Drgx","cg13320676",120
"PDGFRA","AMEX60DD045542","Pdgfra","cg09723068",122
"CDK12","AMEX60DD010293","Cdk12","cg23597056",123
"SCN5A","AMEX60DD021356","Scn5a","cg07374022",125
"AP3B1","AMEX60DD042316","Ap3b1","cg06649032",126
"CTNNB1","AMEX60DD022018","Ctnnb1","cg03532626",127
"RUFY3","AMEX60DD043666","Rufy3","cg01980251",128
"RUFY3","AMEX60DD043667","Rufy3.1","cg01980251",128
"OXR1","AMEX60DD040280","Oxr1","cg19549330",129
"OXR1","AMEX60DD040282","Oxr1.1","cg19549330",129
"BCL11A","AMEX60DD035398","Bcl11a.1","cg07270839",130
"BCL11A","AMEX60DD024771","Bcl11a","cg07270839",130
"ASIC2","AMEX60DD009696","Asic2.3","cg09102690",134
"ASIC2","AMEX60DD009688","Asic2.2","cg09102690",134
"ASIC2","AMEX60DD009683","Asic2.1","cg09102690",134
"ASIC2","AMEX60DD009682","Asic2","cg09102690",134
"MAB21L2","AMEX60DD045037","Mab21l2","cg13163842",135
"CELF4","AMEX60DD003871","Celf4","cg15022739",136
"CELF4","AMEX60DD041624","Celf4.1","cg15022739",136
"CELF4","AMEX60DD041626","Celf4.2","cg15022739",136
"AUTS2","AMEX60DD027966","Auts2","cg27020803",137
"AUTS2","AMEX60DD054212","Auts2.1","cg27020803",137
"AUTS2","AMEX60DD054215","Auts2.3","cg27020803",137
"AUTS2","AMEX60DD054214","Auts2.2","cg27020803",137
"LRBA","AMEX60DD045036","Lrba","cg09783341",139
"EXT1","AMEX60DD040379","Ext1.3","cg14984405",140
"EXT1","AMEX60DD032576","Ext1","cg14984405",140
"EXT1","AMEX60DD032577","Ext1.1","cg14984405",140
"EXT1","AMEX60DD032581","Ext1.2","cg14984405",140
"RANBP17","AMEX60DD030418","Ranbp17.1","cg08192897",141
"RANBP17","AMEX60DD030416","Ranbp17","cg08192897",141
"RANBP17","AMEX60DD030420","Ranbp17.2","cg08192897",141
"ZNF521","AMEX60DD039549","Znf521","cg08752411",143
"ZBTB44","AMEX60DD015291","Zbtb44","cg14920842",144
"ZBTB44","AMEX60DD053562","Zbtb44.2","cg14920842",144
"ZBTB44","AMEX60DD053566","Zbtb44.3","cg14920842",144
"ZBTB44","AMEX60DD015299","Zbtb44.1","cg14920842",144
"PROX1","AMEX60DD025278","Prox1","cg09360996",145
"PROX1","AMEX60DD036083","Prox1.1","cg09360996",145
"RNF11","AMEX60DD019649","Rnf11","cg25700772",146
"RNF11","AMEX60DD031916","Rnf11.1","cg25700772",146
"KMT2D","AMEX60DD029974","Kmt2d","cg20925142",147
"KMT2D","AMEX60DD029975","Kmt2d.1","cg20925142",147
"MAPKAP1","AMEX60DD050518","Mapkap1","cg21826256",148
"HOXC4","AMEX60DD029500","Hoxc4.1","cg03705387",149
"HOXC4","AMEX60DD029499","Hoxc4","cg03705387",149
"FAM222A","AMEX60DD000795","Fam222a","cg01292679",150
"ZFHX4","AMEX60DD039942","Zfhx4","cg25969031",151
"RNF220","AMEX60DD032083","Rnf220.1","cg11641322",153
"RNF220","AMEX60DD019858","Rnf220","cg11641322",153
"MAPKAP1","AMEX60DD050518","Mapkap1","cg26263695",154
"UNCX","AMEX60DD021249","Uncx","cg09709213",156
"DIAPH3","AMEX60DD048907","Diaph3","cg11166718",157
"DIAPH3","AMEX60DD048908","Diaph3.1","cg11166718",157
"DIAPH3","AMEX60DD048909","Diaph3.2","cg11166718",157
"TLX3","AMEX60DD030421","Tlx3","cg00072485",158
"GRIA4","AMEX60DD049465","Gria4","cg06096603",159
"GRIA4","AMEX60DD049466","Gria4.1","cg06096603",159
"NLGN2","AMEX60DD012742","Nlgn2","cg12723445",161
"LCOR","AMEX60DD052868","Lcor","cg21583601",163
"FOXP1","AMEX60DD023939","Foxp1","cg06915569",164
"XPO1","AMEX60DD035363","Xpo1","cg20367539",165
"XPO1","AMEX60DD035364","Xpo1.1","cg20367539",165
"ZNF521","AMEX60DD039549","Znf521","cg25383609",166
"PAX6","AMEX60DD004905","Pax6","cg17880536",167
"PAX6","AMEX60DD007993","Pax6.1","cg17880536",167
"NAPB","AMEX60DD035701","Napb","cg26135564",169
"DOT1L","AMEX60DD014463","Dot1l","cg10587356",170
"KLHL24","AMEX60DD002705","Klhl24","cg02628016",171
"TM9SF1","AMEX60DD009542","Tm9sf1","cg17384251",172
"ADGRL3","AMEX60DD043519","Adgrl3","cg07274932",173
"USH2A","AMEX60DD036103","Ush2a","cg18866778",174
"AUTS2","AMEX60DD027966","Auts2","cg22782498",176
"AUTS2","AMEX60DD054212","Auts2.1","cg22782498",176
"AUTS2","AMEX60DD054215","Auts2.3","cg22782498",176
"AUTS2","AMEX60DD054214","Auts2.2","cg22782498",176
"PCBP3","AMEX60DD038909","Pcbp3","cg13325740",177
"DLG2","AMEX60DD049665","Dlg2.2","cg02793322",178
"DLG2","AMEX60DD049664","Dlg2.1","cg02793322",178
"DLG2","AMEX60DD049667","Dlg2.3","cg02793322",178
"DLG2","AMEX60DD049663","Dlg2","cg02793322",178
"ZNF521","AMEX60DD039549","Znf521","cg21797039",179
"ARID2","AMEX60DD008295","Arid2","cg26225511",180
"PCNX3","AMEX60DD025064","Pcnx3","cg23904344",181
"PCNX3","AMEX60DD025065","Pcnx3.1","cg23904344",181
"R3HDM1","AMEX60DD055961","R3hdm1","cg01243312",185
"CSMD3","AMEX60DD040348","Csmd3","cg09129254",186
"PAXBP1","AMEX60DD047311","Paxbp1","cg11417778",187
"TP63","AMEX60DD003187","Tp63","cg25739551",188
"PELO","AMEX60DD028025","Pelo","cg00038872",189
"FIGN","AMEX60DD029644","Fign","cg13376897",190
"FIGN","AMEX60DD055759","Fign.1","cg13376897",190
"KIAA0825","AMEX60DD042587","Kiaa0825","cg25126076",191
"ZBTB7B","AMEX60DD014889","Zbtb7b","cg06438433",192
"CAMTA1","AMEX60DD051563","Camta1.1","cg15496558",193
"CAMTA1","AMEX60DD051565","Camta1.2","cg15496558",193
"CAMTA1","AMEX60DD012626","Camta1","cg15496558",193
"NIPBL","AMEX60DD041916","Nipbl","cg23728569",194
"NIPBL","AMEX60DD041917","Nipbl.1","cg23728569",194
"IQSEC1","AMEX60DD024042","Iqsec1","cg10919728",195
"BNC2","AMEX60DD043399","Bnc2","cg17782734",198
"ARL4C","AMEX60DD055493","Arl4c.1","cg21930209",201
"ARL4C","AMEX60DD055492","Arl4c","cg21930209",201
"ZNF423","AMEX60DD016569","Znf423","cg00067701",202
"ADGRB3","AMEX60DD033553","Adgrb3.1","cg26992565",203
"ADGRB3","AMEX60DD033552","Adgrb3","cg26992565",203
"TCF4","AMEX60DD041795","Tcf4","cg17470778",204
"ZNF407","AMEX60DD039213","Znf407","cg09624428",206
"GATM","AMEX60DD003590","Gatm","cg10760299",207
"FIGN","AMEX60DD029644","Fign","cg19195912",209
"FIGN","AMEX60DD055759","Fign.1","cg19195912",209
"ADGRL2","AMEX60DD018914","Adgrl2","cg18428461",210
"FEZF2","AMEX60DD023808","Fezf2","cg20188742",211
"PAX6","AMEX60DD004905","Pax6","cg20014398",212
"PAX6","AMEX60DD007993","Pax6.1","cg20014398",212
"ZNF326","AMEX60DD019092","Znf326","cg09347295",213
"ZNF326","AMEX60DD019094","Znf326.1","cg09347295",213
"ZNF326","AMEX60DD019096","Znf326.2","cg09347295",213
"ZNF326","AMEX60DD043894","Znf326.3","cg09347295",213
"SAT1","AMEX60DD012758","Sat1","cg26105485",214
"SAT1","AMEX60DD048380","Sat1.1","cg26105485",214
"TMEM260","AMEX60DD011137","Tmem260","cg09200783",217
"CDH8","AMEX60DD015311","Cdh8","cg10528602",218
"CHIC2","AMEX60DD045545","Chic2","cg17299060",219
"GPD2","AMEX60DD055827","Gpd2","cg13181002",220
"BCL11B","AMEX60DD011386","Bcl11b","cg03242214",221
"PPP2R5B","AMEX60DD025265","Ppp2r5b","cg21506362",222
"GALNT16","AMEX60DD012106","Galnt16","cg21317790",223
"CNTLN","AMEX60DD043394","Cntln","cg06619863",224
"EIF5","AMEX60DD011091","Eif5","cg01914744",225
"EIF5","AMEX60DD018799","Eif5.1","cg01914744",225
"RIMS2","AMEX60DD040262","Rims2.2","cg07731972",226
"RIMS2","AMEX60DD040259","Rims2","cg07731972",226
"RIMS2","AMEX60DD040260","Rims2.1","cg07731972",226
"GRIK2","AMEX60DD051344","Grik2.1","cg13609514",227
"GRIK2","AMEX60DD034010","Grik2","cg13609514",227
"SLITRK1","AMEX60DD048732","Slitrk1","cg18059870",229
"CHIC2","AMEX60DD045545","Chic2","cg13746386",230
"NHSL1","AMEX60DD035514","Nhsl1","cg05958024",232
"TBX3","AMEX60DD001056","Tbx3","cg02779499",233
"NRXN1","AMEX60DD035865","Nrxn1","cg26709901",234
"NRXN1","AMEX60DD035873","Nrxn1.2","cg26709901",234
"NRXN1","AMEX60DD035868","Nrxn1.1","cg26709901",234
"INO80D","AMEX60DD055045","Ino80d","cg13416912",236
"CASZ1","AMEX60DD051153","Casz1","cg04952455",238
"CASZ1","AMEX60DD053420","Casz1.1","cg04952455",238
"AMBRA1","AMEX60DD005276","Ambra1","cg25970241",243
"AMBRA1","AMEX60DD005277","Ambra1.1","cg25970241",243
"AMBRA1","AMEX60DD005278","Ambra1.2","cg25970241",243
"ZNF703","AMEX60DD002465","Znf703","cg07037105",244
"ZEB2","AMEX60DD029760","Zeb2","cg15486257",245
"ZEB2","AMEX60DD055909","Zeb2.1","cg15486257",245
"PBX3","AMEX60DD050513","Pbx3.1","cg05992953",246
"PBX3","AMEX60DD050511","Pbx3","cg05992953",246
"ELP4","AMEX60DD004908","Elp4","cg10113893",247
"ELP4","AMEX60DD037838","Elp4.1","cg10113893",247
"QKI","AMEX60DD034890","Qki","cg10410822",248
"CLK4","AMEX60DD029025","Clk4","cg24463619",249
"MCU","AMEX60DD051677","Mcu","cg04987336",250
"INSRR","AMEX60DD015703","Insrr","cg11023965",251
"TTC29","AMEX60DD045006","Ttc29","cg24830181",252
"PAX2","AMEX60DD051628","Pax2","cg00902275",253
"ILF3","AMEX60DD012671","Ilf3","cg14212421",254
"ILF3","AMEX60DD051502","Ilf3.3","cg14212421",254
"ILF3","AMEX60DD051501","Ilf3.2","cg14212421",254
"ILF3","AMEX60DD032042","Ilf3.1","cg14212421",254
"ILF3","AMEX60DD052329","Ilf3.4","cg14212421",254
"ILF3","AMEX60DD052331","Ilf3.6","cg14212421",254
"ILF3","AMEX60DD052330","Ilf3.5","cg14212421",254
"SHISA9","AMEX60DD030480","Shisa9.1","cg01705052",255
"SHISA9","AMEX60DD025802","Shisa9","cg01705052",255
"TRIP12","AMEX60DD002012","Trip12","cg00211337",256
"TRIP12","AMEX60DD002013","Trip12.1","cg00211337",256
"PAX2","AMEX60DD051628","Pax2","cg16391501",257
"CYP7B1","AMEX60DD039816","Cyp7b1","cg03929725",258
"CNOT6L","AMEX60DD043727","Cnot6l","cg12958327",260
"TSHZ3","AMEX60DD016709","Tshz3","cg17742083",261
"VRK2","AMEX60DD035418","Vrk2","cg19561086",264
"CELF2","AMEX60DD008170","Celf2","cg27070923",265
"PTPRS","AMEX60DD014215","Ptprs","cg25058672",266
"BTRC","AMEX60DD052902","Btrc","cg21303286",267
"BTRC","AMEX60DD052906","Btrc.1","cg21303286",267
"MRM1","AMEX60DD054128","Mrm1","cg24089067",268
"CASK","AMEX60DD047623","Cask","cg14767257",269
"ACTN4","AMEX60DD024266","Actn4","cg12676910",271
"ZNF462","AMEX60DD044428","Znf462","cg15224507",273
"KIZ","AMEX60DD049686","Kiz.5","cg23577036",274
"KIZ","AMEX60DD035478","Kiz.2","cg23577036",274
"KIZ","AMEX60DD009146","Kiz","cg23577036",274
"KIZ","AMEX60DD033645","Kiz.1","cg23577036",274
"KIZ","AMEX60DD053786","Kiz.6","cg23577036",274
"KIZ","AMEX60DD037961","Kiz.4","cg23577036",274
"KIZ","AMEX60DD037717","Kiz.3","cg23577036",274
"NRXN3","AMEX60DD011291","Nrxn3","cg04517300",275
"SHOX2","AMEX60DD001828","Shox2","cg25647160",277
"PCDH17","AMEX60DD048933","Pcdh17","cg25644033",278
"CEP170","AMEX60DD035267","Cep170","cg25362948",279
"BCAR3","AMEX60DD032196","Bcar3.2","cg05925239",280
"BCAR3","AMEX60DD019166","Bcar3","cg05925239",280
"BCAR3","AMEX60DD019169","Bcar3.1","cg05925239",280
"NR2C2","AMEX60DD023485","Nr2c2","cg05278305",281
"CELF2","AMEX60DD008170","Celf2","cg18728108",282
"MFN1","AMEX60DD001620","Mfn1","cg11868140",283
"MFN1","AMEX60DD001623","Mfn1.1","cg11868140",283
"PAX7","AMEX60DD052322","Pax7","cg00487538",284
"PEX14","AMEX60DD051154","Pex14","cg22985336",285
"ZFHX3","AMEX60DD016992","Zfhx3","cg18099500",287
"GPD2","AMEX60DD055827","Gpd2","cg15298624",288
"HAT1","AMEX60DD055667","Hat1","cg02103833",289
"PLD5","AMEX60DD035257","Pld5","cg07257404",290
"PROX1","AMEX60DD025278","Prox1","cg19090360",291
"PROX1","AMEX60DD036083","Prox1.1","cg19090360",291
"ESRRG","AMEX60DD025330","Esrrg","cg13984281",293
"ESRRG","AMEX60DD036107","Esrrg.1","cg13984281",293
"TFRC","AMEX60DD003147","Tfrc","cg13802429",294
"LMO3","AMEX60DD006666","Lmo3","cg15722093",295
"SNX17","AMEX60DD032561","Snx17","cg15292174",296
"TRIP12","AMEX60DD002012","Trip12","cg21137565",297
"TRIP12","AMEX60DD002013","Trip12.1","cg21137565",297
"ZNF536","AMEX60DD016701","Znf536.2","cg14918356",298
"ZNF536","AMEX60DD016699","Znf536.1","cg14918356",298
"ZNF536","AMEX60DD008513","Znf536","cg14918356",298
"MAP4K4","AMEX60DD037294","Map4k4","cg16282799",299
"MAP4K4","AMEX60DD047861","Map4k4.2","cg16282799",299
"MAP4K4","AMEX60DD047860","Map4k4.1","cg16282799",299
"MAP4K4","AMEX60DD047862","Map4k4.3","cg16282799",299
"BTRC","AMEX60DD052902","Btrc","cg11692953",300
"BTRC","AMEX60DD052906","Btrc.1","cg11692953",300
"SOCS3","AMEX60DD017278","Socs3","cg12564910",302
