rank;CpG;rank.neg;rank.pos;PRC1_Amin;PRC2_Amin;stackHMM;cor;pvalueStudent;qvalueStudent;nPresentSamples;SE;SpeciesCommonName;SpeciesLatinName;Z;CHR;Gene;bp;P;hg
1;cg22170285;1;;0;0;EnhWk4;-0,502397179;1,57655E-07;0,000681991;97;0,076701841;Axolotl;Ambystoma mexicanum;-5,243387999;3;LINC01995;182596812;1,57655E-07;hg38
2;cg01140958;;1;0;0;EnhWk4;0,483230627;5,34746E-07;0,001156618;97;0,078640026;Axolotl;Ambystoma mexicanum;5,013407086;11;ELP4;31764564;5,34746E-07;hg38
3;cg26677226;2;;0;0;ReprPC3;-0,446960956;4,44486E-06;0,00640928;97;0,082101445;Axolotl;Ambystoma mexicanum;-4,589416902;9;LINC01507;80067115;4,44486E-06;hg38
4;cg09985959;3;;0;0;EnhWk8;-0,437356733;7,48598E-06;0,006546949;97;0,082972828;Axolotl;Ambystoma mexicanum;-4,479380898;7;ADAM22;88179057;7,48598E-06;hg38
5;cg14250129;4;;0;0;Quies1;-0,43715476;7,56722E-06;0,006546949;97;0,082990949;Axolotl;Ambystoma mexicanum;-4,477076293;7;AUTS2;70515988;7,56722E-06;hg38
6;cg03098138;;2;0;0;EnhWk8;0,427061169;1,28653E-05;0,009275581;97;0,083885915;Axolotl;Ambystoma mexicanum;4,362383692;15;IQCH-AS1;67373923;1,28653E-05;hg38
7;cg26051591;5;;0;0;EnhA17;-0,416188548;2,23658E-05;0,013031354;97;0,084826566;Axolotl;Ambystoma mexicanum;-4,239860882;1;NFIA;60895857;2,23658E-05;hg38
8;cg14728312;;3;0;0;Quies2;0,414691605;2,40994E-05;0,013031354;97;0,084954175;Axolotl;Ambystoma mexicanum;4,223072341;7;AUTS2;70446526;2,40994E-05;hg38
9;cg14460924;;4;0;0;HET1;0,403272861;4,21026E-05;0,020236646;97;0,085912452;Axolotl;Ambystoma mexicanum;4,095627943;3;ROBO2;77632577;4,21026E-05;hg38
10;cg08768944;6;;0;0;EnhWk8;-0,399820104;4,96428E-05;0,02147477;97;0,086196944;Axolotl;Ambystoma mexicanum;-4,05730249;7;VSTM2A;54568983;4,96428E-05;hg38
11;cg00096766;7;;0;1;BivProm4;-0,397655719;5,49928E-05;0,021626456;97;0,086374032;Axolotl;Ambystoma mexicanum;-4,033326612;2;MEIS1;66444859;5,49928E-05;hg38
12;cg25258174;;5;0;1;ReprPC1;0,393512945;6,67624E-05;0,024067063;97;0,08671031;Axolotl;Ambystoma mexicanum;3,987538469;2;HOXD3;176148988;6,67624E-05;hg38
13;cg24455383;;6;0;0;Tx5;0,385759984;9,532E-05;0,030810153;97;0,087330173;Axolotl;Ambystoma mexicanum;3,902205875;1;AKT3;243573005;9,532E-05;hg38
14;cg26529854;;7;0;0;Tx8;0,384765255;9,97124E-05;0,030810153;97;0,08740881;Axolotl;Ambystoma mexicanum;3,891290538;3;SATB1;18352173;9,97124E-05;hg38
15;cg13962734;8;;0;0;Quies1;-0,374919886;0,000154544;0,035433841;97;0,088176179;Axolotl;Ambystoma mexicanum;-3,78365104;2;MIR4432HG;60110444;0,000154544;hg38
16;cg00453591;;8;0;0;EnhA1;0,3741563;0,000159795;0,035433841;97;0,088234863;Axolotl;Ambystoma mexicanum;3,775332285;1;DNM3OS;172144619;0,000159795;hg38
