"CpG","cor_cpg","pvalueStudent","qvalueStudent","SE","Z_cpg","CHR","Gene","Single_gene","Tissue"
"cg12566859",0.460667397377929,0.0471535303456478,0.392420683915195,0.191066060519619,1.98491858455999,10,"ABRAXAS2",NA,"Limb"
"cg14219291",0.261935775828089,0.278677672960878,0.600940172480524,0.225895170755372,1.08329461903408,10,"ABRAXAS2",NA,"Limb"
"cg05066539",-0.0250373467063858,0.918961854371689,0.77516571510321,0.242383587037064,-0.101741508102919,7,"ACHE","yes","Limb"
"cg12676910",-0.558422902824001,0.0129557765817727,0.28998025410628,0.166904252300965,-2.48498260324255,19,"ACTN4","yes","Limb"
"cg14858768",0.291582997217324,0.225805804094274,0.576223855655324,0.221915089938229,1.21123382091758,5,"ADAMTS6","yes","Limb"
"cg05388242",-0.0705313900653686,0.774170016493971,0.748718324991766,0.241329088644531,-0.286924648985097,18,"AQP4-AS1","yes","Limb"
"cg06665099",-0.596046275702782,0.00707598835280911,0.240403555175989,0.156369711514306,-2.69324672949716,14,"ARF6",NA,"Limb"
"cg04135292",-0.20304340466295,0.404451641726562,0.642065241374783,0.232536699973397,-0.833697190485878,14,"ARF6",NA,"Limb"
"cg01802683",0.366904930286075,0.12229924975236,0.513900184296906,0.209885666463403,1.54519439482272,1,"ARID1A","yes","Limb"
"cg26225511",0.474084162335589,0.040301633208567,0.379928189992915,0.188024338306014,2.05064394820604,12,"ARID2","yes","Limb"
"cg21930209",0.197481570386148,0.417715604947523,0.646765842412567,0.233076985315858,0.810390797941519,2,"ARL4C","yes","Limb"
"cg09117664",0.427573791016973,0.0678414648918187,0.431713403147602,0.19819542050004,1.82605840419873,6,"BACH2",NA,"Limb"
"cg11422297",0.35887621864552,0.131325545930058,0.520973144872456,0.211298942786648,1.50889528120132,6,"BACH2",NA,"Limb"
"cg04777732",0.144102617865556,0.556148833751147,0.69439480951355,0.237499235876985,0.588571385598909,6,"BACH2",NA,"Limb"
"cg04163896",0.114056472073737,0.641980733998426,0.71789934670836,0.23938050848024,0.46493118969622,6,"BACH2",NA,"Limb"
"cg18902591",0.118520461160699,0.62891444287214,0.714717321178684,0.239128702927312,0.483255344588787,1,"BCAR3","yes","Limb"
"cg08446518",0.254201081533723,0.293630877299216,0.606662106634722,0.22686341197164,1.05018975842099,2,"BCL11A","yes","Limb"
"cg26091579",-0.405298350779902,0.0851607400349958,0.461977498859323,0.202695085389644,-1.72149664734018,14,"BCL11B",NA,"Limb"
"cg06910273",-0.196135071639881,0.420961359842801,0.646984906143711,0.233205530243668,-0.804754505035514,14,"BCL11B",NA,"Limb"
"cg20402389",0.208719417086313,0.391154886098519,0.636635862254966,0.231969852770355,0.857524852159265,6,"C6orf62","yes","Limb"
"cg02936468",0.0627576239009548,0.798542420908352,0.751263317982049,0.241580393782197,0.255233937016081,9,"CARNMT1","yes","Limb"
"cg09219491",0.424707670793589,0.0699084599013651,0.435947513760293,0.198787872247707,1.81250332978846,7,"CASD1",NA,"Limb"
"cg25646617",0.00843314247185132,0.972666595227689,0.784442117979373,0.242518376413957,0.0342640459151052,7,"CASD1",NA,"Limb"
"cg26793710",0.433913376374257,0.0634319410852739,0.422810632116184,0.196870819112691,1.8561516808769,1,"CDC73","yes","Limb"
"cg22678587",-0.0575219262529134,0.8150600209885,0.754332210068058,0.241733129951248,-0.233903338968572,8,"CHD7","yes","Limb"
"cg25957641",0.436111178249871,0.0619545922950246,0.420890387284702,0.196407056655066,1.86662057482462,10,"CNNM2",NA,"Limb"
"cg27533327",0.361742150112563,0.128051326306923,0.516555986995102,0.210798047819049,1.52183142080897,10,"CNNM2",NA,"Limb"
"cg00724499",0.251332371934208,0.299298695563746,0.610167535460962,0.227215144088768,1.03793848368433,7,"COL1A2-AS1","yes","Limb"
"cg21338479",0.465092642390061,0.044802078095144,0.390722445886671,0.190072461186883,2.00650798113111,7,"CUX1","yes","Limb"
