"gene_id","hs_symbol","SYMBOL"
"AMEX60DD000001","ZNF568","Znf568"
"AMEX60DD000002","ZNF268","Znf268"
"AMEX60DD000003","ZNF850","Znf850"
"AMEX60DD000004","ZNF268","Znf268.1"
"AMEX60DD000005",NA,"AM000005"
"AMEX60DD000006","ZNF268","Znf268.2"
"AMEX60DD000007","ZNF268","Znf268.3"
"AMEX60DD000008",NA,"AM000008"
"AMEX60DD000009",NA,"AM000009"
"AMEX60DD000010",NA,"LOC102367500"
"AMEX60DD000011",NA,"AM000011"
"AMEX60DD000012",NA,"AM000012"
"AMEX60DD000013",NA,"AM000013"
"AMEX60DD000014",NA,"AM000014"
"AMEX60DD000015",NA,"AM000015"
"AMEX60DD000016","FZD10","Fzd10"
"AMEX60DD000017",NA,"AM000017"
"AMEX60DD000018",NA,"AM000018"
"AMEX60DD000019",NA,"AM000019"
"AMEX60DD000020",NA,"AM000020"
"AMEX60DD000021",NA,"LOC106702273"
"AMEX60DD000022",NA,"AM000022"
"AMEX60DD000023",NA,"AM000023"
"AMEX60DD000024",NA,"AM000024"
"AMEX60DD000025",NA,"AM000025"
"AMEX60DD000026",NA,"LOC114595149"
"AMEX60DD000027",NA,"LOC115074266"
"AMEX60DD000028","KDM6B","Kdm6b"
"AMEX60DD000029",NA,"PARPI_0010196"
"AMEX60DD000030",NA,"PARPI_0006348"
"AMEX60DD000031","GLT1D1","Glt1d1"
"AMEX60DD000032",NA,"AM000032"
"AMEX60DD000033","GLT1D1","Glt1d1.1"
"AMEX60DD000034",NA,"LOC106702022"
"AMEX60DD000035",NA,"AM000035"
"AMEX60DD000036","SLC15A4","Slc15a4"
"AMEX60DD000037",NA,"AM000037"
"AMEX60DD000038","TMEM132C","Tmem132c"
"AMEX60DD000039",NA,"AM000039"
"AMEX60DD000040",NA,"AM000040"
"AMEX60DD000041",NA,"AM000041"
"AMEX60DD000042","ATP5MG","Atp5mg"
"AMEX60DD000043",NA,"AM000043"
"AMEX60DD000044","TMEM132B","Tmem132b"
"AMEX60DD000045","TMEM132B","Tmem132b.1"
"AMEX60DD000046","TMEM132B","Tmem132b.2"
"AMEX60DD000047","TMEM132B","Tmem132b.3"
"AMEX60DD000048","AACS","Aacs"
"AMEX60DD000049",NA,"AM000049"
