"CpG","hs_symbol","gene_id"
"cg02553697","LRBA","AMEX60DD045036"
"cg02993437","METAP1D","AMEX60DD055668"
"cg06619863","CNTLN","AMEX60DD043394"
"cg06648649","PAXBP1","AMEX60DD047311"
"cg08715005","LRPPRC","AMEX60DD035957"
"cg11084334","LHFPL4","AMEX60DD023220"
"cg11641322","RNF220","AMEX60DD032083"
"cg11641322","RNF220","AMEX60DD019858"
"cg11922708","LMO1","AMEX60DD004749"
"cg12676910","ACTN4","AMEX60DD024266"
"cg14250129","AUTS2","AMEX60DD054214"
"cg14250129","AUTS2","AMEX60DD054215"
"cg14250129","AUTS2","AMEX60DD027966"
"cg14250129","AUTS2","AMEX60DD054212"
"cg15486257","ZEB2","AMEX60DD055909"
"cg15486257","ZEB2","AMEX60DD029760"
"cg17214349","FIGN","AMEX60DD029644"
"cg17214349","FIGN","AMEX60DD055759"
"cg17299060","CHIC2","AMEX60DD045545"
"cg21797039","ZNF521","AMEX60DD039549"
"cg22413784","BOC","AMEX60DD046905"
"cg25860089","HOXC4","AMEX60DD029500"
"cg25860089","HOXC4","AMEX60DD029499"
